"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
33,pub.1110332371,10.1007/s10902-018-0060-6,,,"Subjective Well-Being Effects of Coping Cost: Evidence from Household Water Supply in Kathmandu Valley, Nepal",Journal of Happiness Studies,,Springer Nature,,2019-12,2019,20,8,2581-2608,Closed,Article,"Chindarkar, Namrata; Chen, Yvonne Jie; Gurung, Yogendra","Chindarkar, Namrata (National University of Singapore)","Chindarkar, Namrata (National University of Singapore); Chen, Yvonne Jie (National University of Singapore); Gurung, Yogendra (Tribhuvan University)",Tribhuvan University; National University of Singapore,grid.80817.36; grid.4280.e,Kathmandu; Singapore,; ,Nepal; Singapore,,,,,,3,3,,,,,https://app.dimensions.ai/details/publication/pub.1110332371,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,Clinical Research,,,,,C17 Business and Management Studies,
29,pub.1120689941,10.1007/s40899-019-00349-8,,,"The roles and attitudes of urbanites towards urban water insecurity. Case of the New Juaben Municipality, Ghana",Sustainable Water Resources Management,,Springer Nature,,2019-12,2019,5,4,2023-2036,Closed,Article,"Asibey, Michael Osei; Dosu, Benjamin; Yeboah, Vivian","Asibey, Michael Osei (Kwame Nkrumah University of Science and Technology)","Asibey, Michael Osei (Kwame Nkrumah University of Science and Technology); Dosu, Benjamin (University of Lethbridge); Yeboah, Vivian (University College London)",Kwame Nkrumah University of Science and Technology; University of Lethbridge; University College London,grid.9829.a; grid.47609.3c; grid.83440.3b,Kumasi; Lethbridge; London,Ashanti; Alberta; ,Ghana; Canada; United Kingdom,,,,,,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1120689941,1402 Applied Economics; 14 Economics,Clinical Research; Behavioral and Social Science,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
28,pub.1122909931,10.1038/s41558-019-0639-x,,,The potential to reduce uncertainty in regional runoff projections from climate models,Nature Climate Change,,Springer Nature,,2019-12,2019,9,12,926-933,Closed,Article,"Lehner, Flavio; Wood, Andrew W.; Vano, Julie A.; Lawrence, David M.; Clark, Martyn P.; Mankin, Justin S.","Lehner, Flavio (Climate and Global Dynamics Laboratory; National Center for Atmospheric Research; ETH Zurich)","Lehner, Flavio (Climate and Global Dynamics Laboratory; National Center for Atmospheric Research; ETH Zurich); Wood, Andrew W. (National Center for Atmospheric Research); Vano, Julie A. (National Center for Atmospheric Research; Aspen Global Change Institute); Lawrence, David M. (Climate and Global Dynamics Laboratory); Clark, Martyn P. (University of Saskatchewan); Mankin, Justin S. (Dartmouth College; Dartmouth College; Lamont-Doherty Earth Observatory)",University of Saskatchewan; Dartmouth College; Lamont-Doherty Earth Observatory; ETH Zurich; Aspen Global Change Institute; Climate and Global Dynamics Laboratory; National Center for Atmospheric Research,grid.25152.31; grid.254880.3; grid.473157.3; grid.5801.c; grid.422950.8; grid.469431.d; grid.57828.30,Saskatoon; Hanover; Sparkill; Zurich; Basalt; Boulder; Boulder,Saskatchewan; New Hampshire; New York; ; Colorado; Colorado; Colorado,Canada; United States; United States; Switzerland; United States; United States; United States,Directorate for Geosciences; United States Department of the Interior; Office of Science; Office of Biological and Environmental Research; National Aeronautics and Space Administration; National Center for Atmospheric Research,NSF; U.S. DoE; NASA,United States; United States; United States; United States; United States; United States,grant.8567054; grant.3146100; grant.4178474; grant.2997473,1947282; 1254557; 0856145; 1528298,3,3,,,35,,https://app.dimensions.ai/details/publication/pub.1122909931,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
20,pub.1120718836,10.1016/j.jclepro.2019.118242,,,"Integrated water resources management and modeling: A case study of Bow river basin, Canada",Journal of Cleaner Production,,Elsevier,,2019-12,2019,240,,118242,Closed,Article,"Wang, Kai; Davies, Evan G.R.; Liu, Junguo","Davies, Evan G.R. (University of Alberta)","Wang, Kai (University of Alberta; Southern University of Science and Technology; Southern University of Science and Technology); Davies, Evan G.R. (University of Alberta); Liu, Junguo (Southern University of Science and Technology; Southern University of Science and Technology)",University of Alberta; Southern University of Science and Technology,grid.17089.37; grid.263817.9,Edmonton; Shenzhen,Alberta; ,Canada; China,Chinese Academy of Sciences; National Natural Science Foundation of China,,China; China,grant.8235648; grant.8232268,41625001; 41571002,5,5,,,1,,https://app.dimensions.ai/details/publication/pub.1120718836,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,,,,,,B12 Engineering,6 Clean Water and Sanitation
20,pub.1122513387,10.1016/j.wasec.2019.100052,,,Resilience of Water Resource Systems: Lessons from England,Water Security,,Elsevier,,2019-12,2019,8,,100052,Closed,Article,"Hall, Jim W.; Borgomeo, Edoardo; Bruce, Alexa; Di Mauro, Manuela; Mortazavi-Naeini, Mohammad","Borgomeo, Edoardo (University of Oxford; European University Institute)","Hall, Jim W. (University of Oxford); Borgomeo, Edoardo (University of Oxford; European University Institute); Bruce, Alexa (University of Massachusetts Amherst); Di Mauro, Manuela (); Mortazavi-Naeini, Mohammad (University of Oxford)",University of Oxford; University of Massachusetts Amherst; European University Institute,grid.4991.5; grid.266683.f; grid.15711.33,Oxford; Amherst Center; Florence,Oxfordshire; Massachusetts; ,United Kingdom; United States; Italy,Engineering and Physical Sciences Research Council; Natural Environment Research Council,cOAlition S; UKRI,United Kingdom; United Kingdom,grant.3560090; grant.4888364,EP/N017064/1; NE/L010364/1,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1122513387,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
20,pub.1120973916,10.1007/s13753-019-00230-4,,,"Assessment of Livelihood Vulnerability to Drought: A Case Study in Dak Nong Province, Vietnam",International Journal of Disaster Risk Science,,Springer Nature,,2019-12,2019,10,4,604-615,All OA; Pure Gold,Article,"Thao, Nguyen Thi Thanh; Khoi, Dao Nguyen; Xuan, Tran Thanh; Tychon, Bernard","Khoi, Dao Nguyen (Duy Tan University)","Thao, Nguyen Thi Thanh (University of Liège; Industrial University of Ho Chi Minh City); Khoi, Dao Nguyen (Duy Tan University); Xuan, Tran Thanh (Trường ĐH Nguyễn Tất Thành); Tychon, Bernard (University of Liège)",University of Liège; Industrial University of Ho Chi Minh City; Trường ĐH Nguyễn Tất Thành; Duy Tan University,grid.4861.b; grid.448730.c; grid.473736.2; grid.444918.4,Liège; Ho Chi Minh City; Ho Chi Minh City; Da Nang,; ; ; ,Belgium; Vietnam; Vietnam; Vietnam,National Foundation for Science and Technology Development,,Vietnam,,,1,1,,,1,https://link.springer.com/content/pdf/10.1007/s13753-019-00230-4.pdf,https://app.dimensions.ai/details/publication/pub.1120973916,18 Law and Legal Studies; 1801 Law,,,,,,C14 Geography and Environmental Studies,13 Climate Action
15,pub.1121191830,10.1016/j.geoforum.2019.08.021,,,"A civil society organisation response to water service delivery issues in South Africa drives transformative praxis. Part 2: Knowledge building, learning and active citizenship",Geoforum,,Elsevier,,2019-12,2019,107,,14-23,Closed,Article,"Weaver, M.J.T; O'Keeffe, J.; Hamer, N.; Palmer, C.G","Weaver, M.J.T (Rhodes University)","Weaver, M.J.T (Rhodes University); O'Keeffe, J. (Rhodes University); Hamer, N. (Rhodes University); Palmer, C.G (Rhodes University)",Rhodes University,grid.91354.3a,Grahamstown,,South Africa,,,,,,1,1,,,9,,https://app.dimensions.ai/details/publication/pub.1121191830,1608 Sociology; 1605 Policy and Administration; 16 Studies in Human Society,,,8.1 Organisation and delivery of services,,,C17 Business and Management Studies,6 Clean Water and Sanitation; 11 Sustainable Cities and Communities
15,pub.1121306062,10.1016/j.jhydrol.2019.124189,,,Evaluation of Remotely Sensed Precipitation Estimates using PERSIANN-CDR and MSWEP for Spatio-Temporal Drought Assessment over Iran,Journal of Hydrology,,Elsevier,,2019-12,2019,579,,124189,Closed,Article,"Alijanian, Mohammadali; Rakhshandehroo, Gholam Reza; Mishra, Ashok; Dehghani, Maryam","Alijanian, Mohammadali (Shiraz University; Clemson University)","Alijanian, Mohammadali (Shiraz University; Clemson University); Rakhshandehroo, Gholam Reza (Shiraz University); Mishra, Ashok (Clemson University); Dehghani, Maryam (Shiraz University)",Clemson University; Shiraz University,grid.26090.3d; grid.412573.6,Clemson; Shiraz,South Carolina; ,United States; Iran,,,,,,4,4,,,1,,https://app.dimensions.ai/details/publication/pub.1121306062,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,
12,pub.1116838285,10.1002/wea.3517,,,"Spatiotemporal precipitation variability and potential drivers during 1961–2015 over the Yellow River Basin, China",Weather,,Wiley,,2019-12,2019,74,S1,s32-s39,All OA; Hybrid,Article,"Liu, Yanli; Tang, Xiongpeng; Sun, Zhouliang; Zhang, Jianyun; Wang, Guoqing; Jin, Junliang; Wang, Gaoxu",,"Liu, Yanli (Ministry of Water Resources of the People's Republic of China); Tang, Xiongpeng (Ministry of Water Resources of the People's Republic of China); Sun, Zhouliang (China Three Gorges University); Zhang, Jianyun (Ministry of Water Resources of the People's Republic of China); Wang, Guoqing (Ministry of Water Resources of the People's Republic of China); Jin, Junliang (Ministry of Water Resources of the People's Republic of China); Wang, Gaoxu ()",China Three Gorges University; Ministry of Water Resources of the People's Republic of China,grid.254148.e; grid.453103.0,Yichang; Beijing,; ,China; China,Ministry of Science and Technology of the People's Republic of China; National Natural Science Foundation of China,,China; China,grant.8281578; grant.8281577; grant.8224890; grant.8374572; grant.8274453,41330854; 91747103; 51779144; 51679145; 51779145,0,0,,,,https://rmets.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wea.3517,https://app.dimensions.ai/details/publication/pub.1116838285,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,Climate-Related Exposures and Conditions,,,,,C14 Geography and Environmental Studies,13 Climate Action
35,pub.1123157937,10.35219/ann-ugal-math-phys-mec.2019.2.02,,,WASEC – Innovative educational tools for the sustainable management of semi-aquatic ecosystems to promote water security in the Eastern Mediterranean,,,Universitatea Dunarea de Jos din Galati,,2019-11-28,2019,42,2,126-133,Closed,Article,"Zaimes, George N.; Iakovoglou, Valasia; Emmanouloudis, Dimitrios; Papantsiou, Olga",,"Zaimes, George N. (International Hellenic University); Iakovoglou, Valasia (International Hellenic University); Emmanouloudis, Dimitrios (International Hellenic University); Papantsiou, Olga (International Hellenic University)",International Hellenic University,grid.449057.b,Thessaloniki,,Greece,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1123157937,0602 Ecology; 0502 Environmental Science and Management; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,,,,,,C14 Geography and Environmental Studies,
15,pub.1122147529,10.1029/2019gl085370,,,A Decade of Water Storage Changes Across the Contiguous United States From GPS and Satellite Gravity,Geophysical Research Letters,,American Geophysical Union (AGU),,2019-11-28,2019,46,22,13006-13015,Closed,Article,"Adusumilli, S.; Borsa, A. A.; Fish, M. A.; McMillan, H. K.; Silverii, F.",,"Adusumilli, S. (University of California, San Diego); Borsa, A. A. (University of California, San Diego); Fish, M. A. (University of California, San Diego); McMillan, H. K. (San Diego State University); Silverii, F. (University of California, San Diego)","University of California, San Diego; San Diego State University",grid.266100.3; grid.263081.e,San Diego; San Diego,California; California,United States; United States,Directorate for Geosciences; United States Army Corps of Engineers; National Aeronautics and Space Administration; ETH Zurich,NSF; DoD; NASA,United States; United States; United States; Switzerland,grant.6619724; grant.5063519,1614218; NNX16AG30G,1,1,,,5,,https://app.dimensions.ai/details/publication/pub.1122147529,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
157,pub.1122937025,10.3390/w11122491,,,Gendered Water Insecurity: A Structural Equation Approach for Female Headed Households in South Africa,Water,,MDPI,,2019-11-26,2019,11,12,2491,All OA; Pure Gold,Article,"Ngarava, Saul; Zhou, Leocadia; Monde, Nomakhaya",,"Ngarava, Saul (); Zhou, Leocadia (); Monde, Nomakhaya ()",,,,,,,,,,,0,0,,,,https://www.mdpi.com/2073-4441/11/12/2491/pdf,https://app.dimensions.ai/details/publication/pub.1122937025,16 Studies in Human Society; 1699 Other Studies In Human Society,,,,,,C14 Geography and Environmental Studies,5 Gender Equality
40,pub.1122918347,10.1111/cag.12583,,,The politics of water security in southern Saskatchewan,Canadian Geographer / Le Géographe canadien,,Wiley,,2019-11-26,2019,,,,Closed,Article,"Olive, Andrea",,"Olive, Andrea (University of Toronto)",University of Toronto,grid.17063.33,Toronto,Ontario,Canada,Social Sciences and Humanities Research Council,,Canada,,,0,0,,,10,,https://app.dimensions.ai/details/publication/pub.1122918347,1606 Political Science; 16 Studies in Human Society,,,,,,C14 Geography and Environmental Studies,7 Affordable and Clean Energy
63,pub.1122897255,10.3390/resources8040178,,,Urban Water Security: Definition and Assessment Framework,Resources,,MDPI,,2019-11-25,2019,8,4,178,All OA; Pure Gold,Article,"Aboelnga, Hassan Tolba; Ribbe, Lars; Frechen, Franz-Bernd; Saghir, Jamal",,"Aboelnga, Hassan Tolba (University of Kassel; ITT (Germany)); Ribbe, Lars (ITT (Germany)); Frechen, Franz-Bernd (University of Kassel); Saghir, Jamal (McGill University)",University of Kassel; McGill University; ITT (Germany),grid.5155.4; grid.14709.3b; grid.473178.e,Kassel; Montreal; Weinstadt-Endersbach,; Quebec; ,Germany; Canada; Germany,,,,,,3,3,,,9,https://www.mdpi.com/2079-9276/8/4/178/pdf,https://app.dimensions.ai/details/publication/pub.1122897255,0907 Environmental Engineering; 09 Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,"C13 Architecture, Built Environment and Planning",6 Clean Water and Sanitation
60,pub.1122870797,10.1080/07900627.2019.1688647,,,Hong Kong’s water security: a governance perspective,International Journal of Water Resources Development,,Taylor & Francis,,2019-11-25,2019,,,1-19,All OA; Bronze,Article,"Wang, Raymond Yu; Dai, Liping",,"Wang, Raymond Yu (Southern University of Science and Technology); Dai, Liping ()",Southern University of Science and Technology,grid.263817.9,Shenzhen,,China,,,,,,2,2,,,1,https://www.tandfonline.com/doi/pdf/10.1080/07900627.2019.1688647?needAccess=true,https://app.dimensions.ai/details/publication/pub.1122870797,1606 Political Science; 16 Studies in Human Society,,,,,,C19 Politics and International Studies,
149,pub.1127073216,10.21810/jicw.v2i2.1063,,,Water Security as an Emergent Opportunity in Canada,The Journal of Intelligence Conflict and Warfare,,Simon Fraser University Library,,2019-11-21,2019,2,2,4,All OA; Hybrid,Article,CASIS,,CASIS (),,,,,,,,,,,0,0,,,,https://journals.lib.sfu.ca/index.php/jicw/article/download/1063/688,https://app.dimensions.ai/details/publication/pub.1127073216,1606 Political Science; 16 Studies in Human Society,,,,,,C14 Geography and Environmental Studies,2 Zero Hunger
10,pub.1121483580,10.1108/ijhg-06-2019-0045,,,Power of partnerships,International Journal of Health Governance,,Emerald,,2019-11-21,2019,24,4,284-297,Closed,Article,"Shroff, Farah; Minhas, Jasmit S.; Laugen, Christian",,"Shroff, Farah (); Minhas, Jasmit S. (); Laugen, Christian ()",,,,,,,,,,,1,1,,,39,,https://app.dimensions.ai/details/publication/pub.1121483580,1608 Sociology; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 16 Studies in Human Society,Clinical Research; Health Services; Basic Behavioral and Social Science; Behavioral and Social Science,Generic Health Relevance,8.1 Organisation and delivery of services,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy","3 Good Health and Well Being; 16 Peace, Justice and Strong Institutions"
20,pub.1122690186,10.3390/w11112407,,,"Precipitation Trends and Alteration in Wei River Basin: Implication for Water Resources Management in the Transitional Zone between Plain and Loess Plateau, China",Water,,MDPI,,2019-11-16,2019,11,11,2407,All OA; Pure Gold,Article,"Li, Ci; Zhang, Hongbo; Gong, Xinghui; Wei, Xiaowei; Yang, Jiantao",,"Li, Ci (Chang'an University); Zhang, Hongbo (Chang'an University; Chang'an University); Gong, Xinghui (Chang'an University; Chang'an University); Wei, Xiaowei (Chang'an University); Yang, Jiantao (Chang'an University)",Chang'an University,grid.440661.1,Xi'an,,China,National Natural Science Foundation of China,,China,,,1,1,,,,https://www.mdpi.com/2073-4441/11/11/2407/pdf,https://app.dimensions.ai/details/publication/pub.1122690186,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
20,pub.1122697705,,,,"Science Challenges in Low Temperature Plasma Science and Engineering:
  Enabling a Future Based on Electricity through Non-Equilibrium Plasma
  Chemistry",arXiv,,,,2019-11-16,2019,,,,"All OA; Green, Submitted",Preprint,"Thagard, Selma Mededovic; Sankaran, Mohan; Kushner, Mark J.",,"Thagard, Selma Mededovic (); Sankaran, Mohan (); Kushner, Mark J. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1122697705,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),,,,,,B09 Physics,7 Affordable and Clean Energy
17,pub.1122774286,10.35940/ijitee.a9123.119119,,,Real-Time Implementation for Secure Monitoring of Wastewater Treatment Plants using Internet of Things,International Journal of Innovative Technology and Exploring Engineering,,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,,2019-11-10,2019,9,1,2997-3002,All OA; Bronze,Article,,,,,,,,,,,,,,0,0,,,,https://doi.org/10.35940/ijitee.a9123.119119,https://app.dimensions.ai/details/publication/pub.1122774286,09 Engineering; 0904 Chemical Engineering; 0907 Environmental Engineering,,,,,,B12 Engineering,6 Clean Water and Sanitation
56,pub.1122091240,10.1002/9781119520627.ch18,,,Equity and Urban Water Security,,"Water Science, Policy, and Management",Wiley,,2019-11-07,2019,,,329-343,Closed,Chapter,"Charles, Katrina J.; Octavianti, Thanti; Hylton, Erin; Remmington, Grace",,"Charles, Katrina J. (University of Oxford); Octavianti, Thanti (University of Oxford); Hylton, Erin (Concurrent Technologies Corporation); Remmington, Grace (Cranfield University)",University of Oxford; Cranfield University; Concurrent Technologies Corporation,grid.4991.5; grid.12026.37; grid.504327.7,Oxford; Cranfield; Atlantic City,Oxfordshire; ; New Jersey,United Kingdom; United Kingdom; United States,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1122091240,09 Engineering; 1402 Applied Economics; 0907 Environmental Engineering; 14 Economics,,,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities
50,pub.1122086657,10.1002/9781119520627.ch19,,,Reflections on Water Security and Humanity,,"Water Science, Policy, and Management",Wiley,,2019-11-07,2019,,,345-362,Closed,Chapter,"Grey, David",,"Grey, David (University of Oxford)",University of Oxford,grid.4991.5,Oxford,Oxfordshire,United Kingdom,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1122086657,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C19 Politics and International Studies,
137,pub.1120146102,10.1080/08941920.2019.1648709,,,"‘The San Antonio River Doesn’t Start in San Antonio, It Now Starts in Burleson County’: Stakeholder Perspectives on a Groundwater Transfer Project in Central Texas",Society & Natural Resources,,Taylor & Francis,,2019-11-02,2019,32,11,1-17,Closed,Article,"Beckner, Sydney; Jepson, Wendy; Brannstrom, Christian; Tracy, John",,"Beckner, Sydney (Texas A&M University); Jepson, Wendy (Texas A&M University); Brannstrom, Christian (Texas A&M University); Tracy, John (Texas A&M University)",Texas A&M University,grid.264756.4,College Station,Texas,United States,,,,,,0,0,,,11,,https://app.dimensions.ai/details/publication/pub.1120146102,1605 Policy and Administration; 16 Studies in Human Society,,,,,,C17 Business and Management Studies,
75,pub.1122281853,10.1002/rcm.8618,31677304,,Untargeted characterisation of dissolved organic matter contributions to rivers from anthropogenic point sources using direct‐infusion and high‐performance liquid chromatography/Orbitrap mass spectrometry,Rapid Communications in Mass Spectrometry,,Wiley,,2019-11-02,2019,,,e8618,All OA; Hybrid,Article,"Pemberton, Jonathan A.; Lloyd, Charlotte E.M.; Arthur, Christopher J.; Johnes, Penny J.; Dickinson, Michael; Charlton, Adrian J.; Evershed, Richard P.",,"Pemberton, Jonathan A. (University of Bristol); Lloyd, Charlotte E.M. (University of Bristol); Arthur, Christopher J. (University of Bristol); Johnes, Penny J. (University of Bristol); Dickinson, Michael (Fera Science (United Kingdom)); Charlton, Adrian J. (Fera Science (United Kingdom)); Evershed, Richard P. (University of Bristol)",University of Bristol; Fera Science (United Kingdom),grid.5337.2; grid.470556.5,Bristol; York,; ,United Kingdom; United Kingdom,Engineering and Physical Sciences Research Council; Department for Environment Food and Rural Affairs; Natural Environment Research Council,cOAlition S; UKRI,United Kingdom; United Kingdom; United Kingdom,grant.2777299,NE/K010689/1,1,1,,,9,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcm.8618,https://app.dimensions.ai/details/publication/pub.1122281853,03 Chemical Sciences; 0301 Analytical Chemistry,,,,,,"A06 Agriculture, Veterinary and Food Science",
20,pub.1122232333,10.1088/1755-1315/344/1/012029,,,Dynamic model for the management of water resource and water aptitude for irrigation of the Togllahuayco gorge in the Guangopolo micro-basin,IOP Conference Series Earth and Environmental Science,,IOP Publishing,,2019-11-01,2019,344,1,012029,All OA; Bronze,Article,"Carrera-Villacrés, D V; Quinteros-Carabalí, J A; Gómez, A J; Solano, E M; Llumiquinga, G E; Burgos, C A",,"Carrera-Villacrés, D V (Central University of Ecuador; Escuela Politécnica del Ejército); Quinteros-Carabalí, J A (Central University of Ecuador); Gómez, A J (Central University of Ecuador); Solano, E M (Central University of Ecuador); Llumiquinga, G E (Central University of Ecuador); Burgos, C A (Central University of Ecuador)",Escuela Politécnica del Ejército; Central University of Ecuador,grid.442254.1; grid.7898.e,Sangolquí; Quito,; ,Ecuador; Ecuador,,,,,,0,0,,,1,https://doi.org/10.1088/1755-1315/344/1/012029,https://app.dimensions.ai/details/publication/pub.1122232333,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 0907 Environmental Engineering; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B12 Engineering,6 Clean Water and Sanitation
339,pub.1111501129,10.1016/j.puhe.2018.10.010,30661805,,"Water (in)security and American Indian health: social and environmental justice implications for policy, practice, and research",Public Health,,Elsevier,"Health Status; Humans; Indians, North American; Policy; Public Health Practice; Research; Social Justice; United States; Water Supply",2019-11,2019,176,,98-105,Closed,Article,"Mitchell, F.M.","Mitchell, F.M. (Arizona State University)","Mitchell, F.M. (Arizona State University)",Arizona State University,grid.215654.1,Tempe,Arizona,United States,,,,,,1,1,,,1,,https://app.dimensions.ai/details/publication/pub.1111501129,1117 Public Health and Health Services; 11 Medical and Health Sciences,,,,,,C20 Social Work and Social Policy,2 Zero Hunger
135,pub.1122281272,10.1016/j.gloenvcha.2019.101994,,,Environmental associated emotional distress and the dangers of climate change for pastoralist mental health,Global Environmental Change,,Elsevier,,2019-11,2019,59,,101994,All OA; Hybrid,Article,"Cooper, Sarah; Hutchings, Paul; Butterworth, John; Joseph, Solome; Kebede, Abinet; Parker, Alison; Terefe, Bethel; Van Koppen, Barbara","Hutchings, Paul (Cranfield University)","Cooper, Sarah (Cranfield University); Hutchings, Paul (Cranfield University); Butterworth, John (International Rescue Committee); Joseph, Solome (Cranfield University; International Rescue Committee; International Water Management Institute); Kebede, Abinet (International Rescue Committee); Parker, Alison (Cranfield University); Terefe, Bethel (Cranfield University; International Rescue Committee; International Water Management Institute); Van Koppen, Barbara (Cranfield University; International Rescue Committee; International Water Management Institute)",International Water Management Institute; International Rescue Committee; Cranfield University,grid.419368.1; grid.477359.b; grid.12026.37,Colombo; Addis Ababa; Cranfield,; ; ,Sri Lanka; Ethiopia; United Kingdom,Economic and Social Research Council,cOAlition S; ICRP; UKRI,United Kingdom,grant.6945945,ES/R001049/1,0,0,,,16,https://doi.org/10.1016/j.gloenvcha.2019.101994,https://app.dimensions.ai/details/publication/pub.1122281272,1117 Public Health and Health Services; 11 Medical and Health Sciences,Clinical Research; Mental Health; Mind and Body; Behavioral and Social Science,,,,,C22 Anthropology and Development Studies,13 Climate Action
100,pub.1120128132,10.1016/j.envpol.2019.113006,31419662,,Spatiotemporal variations in the hydrochemical characteristics and controlling factors of streamflow and groundwater in the Wei River of China,Environmental Pollution,,Elsevier,Agriculture; Carbonates; China; Environmental Monitoring; Fertilizers; Groundwater; Humans; Nitrates; Rivers; Seasons; Water Movements; Water Quality; Weather,2019-11,2019,254,Pt A,113006,Closed,Article,"Li, Zhou; Xiao, Jun; Evaristo, Jaivime; Li, Zhi","Li, Zhou (Institute of Soil and Water Conservation)","Li, Zhou (Institute of Soil and Water Conservation); Xiao, Jun (Institute of Earth Environment); Evaristo, Jaivime (Institute of Soil and Water Conservation; Utrecht University); Li, Zhi (Institute of Soil and Water Conservation)",Utrecht University; Institute of Soil and Water Conservation; Institute of Earth Environment,grid.5477.1; grid.458510.d; grid.458457.f,Utrecht; Yangling; Xi'an,Utrecht; ; ,Netherlands; China; China,Chinese Academy of Sciences; National Natural Science Foundation of China,,China; China,grant.8239825,41761144060,3,3,,,,,https://app.dimensions.ai/details/publication/pub.1120128132,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B07 Earth Systems and Environmental Sciences,
76,pub.1120837001,10.1016/j.envres.2019.108712,31520829,,Hypoxia and associated feedbacks at sediment-water interface as an early warning signal of resilience shift in an anthropogenically impacted river,Environmental Research,,Elsevier,"Ecosystem; Environmental Monitoring; Geologic Sediments; Humans; Hypoxia; India; Rivers; Water; Water Pollutants, Chemical",2019-11,2019,178,,108712,Closed,Article,"Jaiswal, Deepa; Pandey, Jitendra","Pandey, Jitendra (Banaras Hindu University)","Jaiswal, Deepa (Banaras Hindu University); Pandey, Jitendra (Banaras Hindu University)",Banaras Hindu University,grid.411507.6,Varanasi,Uttar Pradesh,India,Council of Scientific and Industrial Research; Department of Science and Technology,,India; India,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1120837001,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
